state,year,rgn_id,rgn_name,rgn_gdp,gdp_avg_3yr,gdp_prev_3yr,gdp_growth_rate
Connecticut,2005,3,Connecticut,3207644e3,3207644e3,NA,NA
Maine,2005,7,Maine,2140566e3,2140566e3,NA,NA
Rhode Island,2005,1,Rhode Island,2103963e3,2103963e3,NA,NA
Massachusetts,2005,4,Massachusetts-Gulf of Maine,2992398e3,2992398e3,NA,NA
Massachusetts,2005,5,Massachusetts-Virginian,115232e4,115232e4,NA,NA
New Hampshire,2005,6,New Hampshire,391665e3,391665e3,NA,NA
Connecticut,2006,3,Connecticut,3232611e3,3220127500,3207644e3,NA
Maine,2006,7,Maine,2209359e3,2174962500,2140566e3,NA
Rhode Island,2006,1,Rhode Island,208764e4,2095801500,2103963e3,NA
Massachusetts,2006,4,Massachusetts-Gulf of Maine,3094981e3,3043689500,2992398e3,NA
Massachusetts,2006,5,Massachusetts-Virginian,1236317e3,1194318500,115232e4,NA
New Hampshire,2006,6,New Hampshire,412106e3,401885500,391665e3,NA
Connecticut,2007,3,Connecticut,3691361e3,3377205333.3333335,3220127500,NA
Maine,2007,7,Maine,2209101e3,2186342e3,2174962500,NA
Rhode Island,2007,1,Rhode Island,1942921e3,2044841333.3333333,2095801500,NA
Massachusetts,2007,4,Massachusetts-Gulf of Maine,331782e4,3135066333.3333335,3043689500,NA
Massachusetts,2007,5,Massachusetts-Virginian,1396892e3,1261843e3,1194318500,NA
New Hampshire,2007,6,New Hampshire,39429e4,399353666.6666667,401885500,NA
Connecticut,2008,3,Connecticut,3554329e3,3492767e3,3377205333.3333335,0.052446815986709305
Maine,2008,7,Maine,2080046e3,2166168666.6666665,2186342e3,-0.04861819422578906
Rhode Island,2008,1,Rhode Island,1991358e3,2007306333.3333333,2044841333.3333333,-0.02615524855718221
Massachusetts,2008,4,Massachusetts-Gulf of Maine,3408793500,3273864833.3333335,3135066333.3333335,0.08731144338360086
Massachusetts,2008,5,Massachusetts-Virginian,1198075500,1277094833.3333333,1261843e3,-0.050535209213824595
New Hampshire,2008,6,New Hampshire,306463e3,370953e3,399353666.6666667,-0.23260251356149653
Connecticut,2009,3,Connecticut,3722512e3,3656067333.3333335,3492767e3,0.06577736218877472
