"","Year","rgn_id","rgn_name","GDP","Sector"
"1",2015,5,"Connecticut",NA,"Construction"
"2",2015,5,"Connecticut",44590000,"Living Resources"
"3",2015,5,"Connecticut",NA,"Minerals"
"4",2015,5,"Connecticut",1476627000,"Ship & Boat Building"
"5",2015,5,"Connecticut",1635628000,"Tourism & Recreation"
"6",2015,5,"Connecticut",738497000,"Transportation"
"7",2015,5,"Connecticut",4064781000,"All Ocean Sectors"
"8",2014,5,"Connecticut",NA,"Construction"
"9",2014,5,"Connecticut",44018000,"Living Resources"
"10",2014,5,"Connecticut",104825000,"Minerals"
"11",2014,5,"Connecticut",1289512000,"Ship & Boat Building"
"12",2014,5,"Connecticut",1529208000,"Tourism & Recreation"
"13",2014,5,"Connecticut",653431000,"Transportation"
"14",2014,5,"Connecticut",3658562000,"All Ocean Sectors"
"15",2013,5,"Connecticut",36296000,"Construction"
"16",2013,5,"Connecticut",44495000,"Living Resources"
"17",2013,5,"Connecticut",81018000,"Minerals"
"18",2013,5,"Connecticut",1336852000,"Ship & Boat Building"
"19",2013,5,"Connecticut",1652019000,"Tourism & Recreation"
"20",2013,5,"Connecticut",702036000,"Transportation"
"21",2013,5,"Connecticut",3852717000,"All Ocean Sectors"
"22",2012,5,"Connecticut",40270000,"Construction"
"23",2012,5,"Connecticut",45155000,"Living Resources"
"24",2012,5,"Connecticut",81604000,"Minerals"
"25",2012,5,"Connecticut",1452430000,"Ship & Boat Building"
"26",2012,5,"Connecticut",1638160000,"Tourism & Recreation"
"27",2012,5,"Connecticut",735490000,"Transportation"
"28",2012,5,"Connecticut",3993109000,"All Ocean Sectors"
"29",2011,5,"Connecticut",31638000,"Construction"
"30",2011,5,"Connecticut",40613000,"Living Resources"
"31",2011,5,"Connecticut",64597000,"Minerals"
"32",2011,5,"Connecticut",1358231000,"Ship & Boat Building"
"33",2011,5,"Connecticut",1549441000,"Tourism & Recreation"
"34",2011,5,"Connecticut",724365000,"Transportation"
"35",2011,5,"Connecticut",3768886000,"All Ocean Sectors"
"36",2010,5,"Connecticut",31235000,"Construction"
"37",2010,5,"Connecticut",46112000,"Living Resources"
"38",2010,5,"Connecticut",79401000,"Minerals"
"39",2010,5,"Connecticut",1586663000,"Ship & Boat Building"
"40",2010,5,"Connecticut",1465471000,"Tourism & Recreation"
"41",2010,5,"Connecticut",694948000,"Transportation"
"42",2010,5,"Connecticut",3903830000,"All Ocean Sectors"
"43",2009,5,"Connecticut",23246000,"Construction"
"44",2009,5,"Connecticut",49566000,"Living Resources"
"45",2009,5,"Connecticut",65616000,"Minerals"
"46",2009,5,"Connecticut",1282529000,"Ship & Boat Building"
"47",2009,5,"Connecticut",1387265000,"Tourism & Recreation"
"48",2009,5,"Connecticut",914290000,"Transportation"
"49",2009,5,"Connecticut",3722512000,"All Ocean Sectors"
"50",2008,5,"Connecticut",NA,"Construction"
"51",2008,5,"Connecticut",38500000,"Living Resources"
"52",2008,5,"Connecticut",77108000,"Minerals"
"53",2008,5,"Connecticut",1150737000,"Ship & Boat Building"
"54",2008,5,"Connecticut",NA,"Tourism & Recreation"
"55",2008,5,"Connecticut",857065000,"Transportation"
"56",2008,5,"Connecticut",3554329000,"All Ocean Sectors"
"57",2007,5,"Connecticut",NA,"Construction"
"58",2007,5,"Connecticut",40128000,"Living Resources"
"59",2007,5,"Connecticut",NA,"Minerals"
"60",2007,5,"Connecticut",1169407000,"Ship & Boat Building"
"61",2007,5,"Connecticut",1365065000,"Tourism & Recreation"
"62",2007,5,"Connecticut",973707000,"Transportation"
"63",2007,5,"Connecticut",3691361000,"All Ocean Sectors"
"64",2006,5,"Connecticut",NA,"Construction"
"65",2006,5,"Connecticut",38552000,"Living Resources"
"66",2006,5,"Connecticut",NA,"Minerals"
"67",2006,5,"Connecticut",1155739000,"Ship & Boat Building"
"68",2006,5,"Connecticut",1376832000,"Tourism & Recreation"
"69",2006,5,"Connecticut",524728000,"Transportation"
"70",2006,5,"Connecticut",3232611000,"All Ocean Sectors"
"71",2005,5,"Connecticut",NA,"Construction"
"72",2005,5,"Connecticut",43949000,"Living Resources"
"73",2005,5,"Connecticut",NA,"Minerals"
"74",2005,5,"Connecticut",1141352000,"Ship & Boat Building"
"75",2005,5,"Connecticut",1380314000,"Tourism & Recreation"
"76",2005,5,"Connecticut",491879000,"Transportation"
"77",2005,5,"Connecticut",3207644000,"All Ocean Sectors"
"78",2015,6,"Maine",17810000,"Construction"
