"","Year","rgn_id","rgn_name","Employment","Sector"
"1",2015,5,"Connecticut",NA,"Construction"
"2",2015,5,"Connecticut",456,"Living Resources"
"3",2015,5,"Connecticut",NA,"Minerals"
"4",2015,5,"Connecticut",9849,"Ship & Boat Building"
"5",2015,5,"Connecticut",37584,"Tourism & Recreation"
"6",2015,5,"Connecticut",3415,"Transportation"
"7",2015,5,"Connecticut",51870,"All Ocean Sectors"
"8",2014,5,"Connecticut",NA,"Construction"
"9",2014,5,"Connecticut",466,"Living Resources"
"10",2014,5,"Connecticut",265,"Minerals"
"11",2014,5,"Connecticut",9128,"Ship & Boat Building"
"12",2014,5,"Connecticut",37348,"Tourism & Recreation"
"13",2014,5,"Connecticut",3404,"Transportation"
"14",2014,5,"Connecticut",50871,"All Ocean Sectors"
"15",2013,5,"Connecticut",268,"Construction"
"16",2013,5,"Connecticut",487,"Living Resources"
"17",2013,5,"Connecticut",252,"Minerals"
"18",2013,5,"Connecticut",9203,"Ship & Boat Building"
"19",2013,5,"Connecticut",36323,"Tourism & Recreation"
"20",2013,5,"Connecticut",3875,"Transportation"
"21",2013,5,"Connecticut",50410,"All Ocean Sectors"
"22",2012,5,"Connecticut",281,"Construction"
"23",2012,5,"Connecticut",472,"Living Resources"
"24",2012,5,"Connecticut",249,"Minerals"
"25",2012,5,"Connecticut",8505,"Ship & Boat Building"
"26",2012,5,"Connecticut",34031,"Tourism & Recreation"
"27",2012,5,"Connecticut",4010,"Transportation"
"28",2012,5,"Connecticut",47551,"All Ocean Sectors"
"29",2011,5,"Connecticut",301,"Construction"
"30",2011,5,"Connecticut",461,"Living Resources"
"31",2011,5,"Connecticut",258,"Minerals"
"32",2011,5,"Connecticut",8483,"Ship & Boat Building"
"33",2011,5,"Connecticut",32190,"Tourism & Recreation"
"34",2011,5,"Connecticut",4211,"Transportation"
"35",2011,5,"Connecticut",45906,"All Ocean Sectors"
"36",2010,5,"Connecticut",282,"Construction"
"37",2010,5,"Connecticut",454,"Living Resources"
"38",2010,5,"Connecticut",273,"Minerals"
"39",2010,5,"Connecticut",8502,"Ship & Boat Building"
"40",2010,5,"Connecticut",30780,"Tourism & Recreation"
"41",2010,5,"Connecticut",4345,"Transportation"
"42",2010,5,"Connecticut",44638,"All Ocean Sectors"
"43",2009,5,"Connecticut",183,"Construction"
"44",2009,5,"Connecticut",458,"Living Resources"
"45",2009,5,"Connecticut",325,"Minerals"
"46",2009,5,"Connecticut",8540,"Ship & Boat Building"
"47",2009,5,"Connecticut",30642,"Tourism & Recreation"
"48",2009,5,"Connecticut",4473,"Transportation"
"49",2009,5,"Connecticut",44623,"All Ocean Sectors"
"50",2008,5,"Connecticut",NA,"Construction"
"51",2008,5,"Connecticut",372,"Living Resources"
"52",2008,5,"Connecticut",391,"Minerals"
"53",2008,5,"Connecticut",7995,"Ship & Boat Building"
"54",2008,5,"Connecticut",NA,"Tourism & Recreation"
"55",2008,5,"Connecticut",4744,"Transportation"
