state,year,rgn_id,rgn_name,wages_per_job,wages_avg_3yr,wages_prev_3yr,wage_growth_rate
Connecticut,2005,3,Connecticut,41128.03005756197,41128.03005756197,NA,NA
Maine,2005,7,Maine,33380.74148376907,33380.74148376907,NA,NA
Rhode Island,2005,1,Rhode Island,26823.310150863188,26823.310150863188,NA,NA
Massachusetts,2005,4,Massachusetts-Gulf of Maine,31845.36232981502,31845.36232981502,NA,NA
Massachusetts,2005,5,Massachusetts-Virginian,28501.530719798713,28501.530719798713,NA,NA
New Hampshire,2005,6,New Hampshire,22804.482749675746,22804.482749675746,NA,NA
New York,2005,2,New York,31513.63526556608,31513.63526556608,NA,NA
Connecticut,2006,3,Connecticut,39825.40734983644,40476.7187036992,41128.03005756197,NA
Maine,2006,7,Maine,33172.799077654745,33276.770280711906,33380.74148376907,NA
Rhode Island,2006,1,Rhode Island,26671.728418709394,26747.519284786293,26823.310150863188,NA
Massachusetts,2006,4,Massachusetts-Gulf of Maine,33611.85753502912,32728.60993242207,31845.36232981502,NA
Massachusetts,2006,5,Massachusetts-Virginian,29898.627767302187,29200.079243550448,28501.530719798713,NA
New Hampshire,2006,6,New Hampshire,22421.738470873788,22613.110610274765,22804.482749675746,NA
New York,2006,2,New York,31824.150241588406,31668.892753577245,31513.63526556608,NA
Connecticut,2007,3,Connecticut,43033.00606654959,41328.814491316,40476.7187036992,NA
Maine,2007,7,Maine,34112.0736531084,33555.2047381774,33276.770280711906,NA
Rhode Island,2007,1,Rhode Island,26690.853146853147,26728.63057214191,26747.519284786293,NA
Massachusetts,2007,4,Massachusetts-Gulf of Maine,32873.92493505718,32777.04826663377,32728.60993242207,NA
Massachusetts,2007,5,Massachusetts-Virginian,29888.73920341828,29429.632563506395,29200.079243550448,NA
New Hampshire,2007,6,New Hampshire,22686.188098840143,22637.46977312989,22613.110610274765,NA
New York,2007,2,New York,32304.634852693045,31880.806786615845,31668.892753577245,NA
