"","Year","rgn_id","rgn_name","Employment","Sector"
"1",2015,5,"Connecticut",37584,"Tourism & Recreation"
"2",2014,5,"Connecticut",37348,"Tourism & Recreation"
"3",2013,5,"Connecticut",36323,"Tourism & Recreation"
"4",2012,5,"Connecticut",34031,"Tourism & Recreation"
"5",2011,5,"Connecticut",32190,"Tourism & Recreation"
"6",2010,5,"Connecticut",30780,"Tourism & Recreation"
"7",2009,5,"Connecticut",30642,"Tourism & Recreation"
"8",2008,5,"Connecticut",NA,"Tourism & Recreation"
"9",2007,5,"Connecticut",30373,"Tourism & Recreation"
"10",2006,5,"Connecticut",29188,"Tourism & Recreation"
"11",2005,5,"Connecticut",28436,"Tourism & Recreation"
"12",2015,6,"Maine",30865,"Tourism & Recreation"
"13",2014,6,"Maine",30437,"Tourism & Recreation"
"14",2013,6,"Maine",30166,"Tourism & Recreation"
"15",2012,6,"Maine",29785,"Tourism & Recreation"
"16",2011,6,"Maine",29118,"Tourism & Recreation"
"17",2010,6,"Maine",27583,"Tourism & Recreation"
"18",2009,6,"Maine",26663,"Tourism & Recreation"
"19",2008,6,"Maine",26815,"Tourism & Recreation"
"20",2007,6,"Maine",27151,"Tourism & Recreation"
"21",2006,6,"Maine",26829,"Tourism & Recreation"
"22",2005,6,"Maine",27008,"Tourism & Recreation"
"23",2015,9,"New Hampshire",7404,"Tourism & Recreation"
"24",2014,9,"New Hampshire",7134,"Tourism & Recreation"
"25",2013,9,"New Hampshire",7259,"Tourism & Recreation"
"26",2012,9,"New Hampshire",6930,"Tourism & Recreation"
"27",2011,9,"New Hampshire",6046,"Tourism & Recreation"
"28",2010,9,"New Hampshire",6379,"Tourism & Recreation"
"29",2009,9,"New Hampshire",6197,"Tourism & Recreation"
"30",2008,9,"New Hampshire",6395,"Tourism & Recreation"
"31",2007,9,"New Hampshire",6547,"Tourism & Recreation"
"32",2006,9,"New Hampshire",6918,"Tourism & Recreation"
"33",2005,9,"New Hampshire",6510,"Tourism & Recreation"
"34",2015,10,"New York",333745,"Tourism & Recreation"
"35",2014,10,"New York",319388,"Tourism & Recreation"
"36",2013,10,"New York",300752,"Tourism & Recreation"
"37",2012,10,"New York",285525,"Tourism & Recreation"
"38",2011,10,"New York",268851,"Tourism & Recreation"
"39",2010,10,"New York",250879,"Tourism & Recreation"
"40",2009,10,"New York",238862,"Tourism & Recreation"
"41",2008,10,"New York",240784,"Tourism & Recreation"
"42",2007,10,"New York",233362,"Tourism & Recreation"
"43",2006,10,"New York",222937,"Tourism & Recreation"
"44",2005,10,"New York",217333,"Tourism & Recreation"
"45",2015,11,"Rhode Island",35050,"Tourism & Recreation"
"46",2014,11,"Rhode Island",34757,"Tourism & Recreation"
"47",2013,11,"Rhode Island",34089,"Tourism & Recreation"
"48",2012,11,"Rhode Island",32967,"Tourism & Recreation"
"49",2011,11,"Rhode Island",31796,"Tourism & Recreation"
"50",2010,11,"Rhode Island",31245,"Tourism & Recreation"
"51",2009,11,"Rhode Island",31005,"Tourism & Recreation"
"52",2008,11,"Rhode Island",32296,"Tourism & Recreation"
"53",2007,11,"Rhode Island",32329,"Tourism & Recreation"
"54",2006,11,"Rhode Island",31459,"Tourism & Recreation"
"55",2005,11,"Rhode Island",31111,"Tourism & Recreation"
"56",2015,7,"Massachusetts-Gulf of Maine",43162,"Tourism & Recreation"
"57",2015,8,"Massachusetts-Virginian",6332,"Tourism & Recreation"
"58",2014,7,"Massachusetts-Gulf of Maine",52220,"Tourism & Recreation"
"59",2014,8,"Massachusetts-Virginian",17520,"Tourism & Recreation"
"60",2013,7,"Massachusetts-Gulf of Maine",47394,"Tourism & Recreation"
"61",2013,8,"Massachusetts-Virginian",12945,"Tourism & Recreation"
"62",2012,7,"Massachusetts-Gulf of Maine",45700,"Tourism & Recreation"
"63",2012,8,"Massachusetts-Virginian",13255,"Tourism & Recreation"
"64",2011,7,"Massachusetts-Gulf of Maine",37565,"Tourism & Recreation"
"65",2011,8,"Massachusetts-Virginian",5146,"Tourism & Recreation"
"66",2010,7,"Massachusetts-Gulf of Maine",45894,"Tourism & Recreation"
"67",2010,8,"Massachusetts-Virginian",16170,"Tourism & Recreation"
"68",2009,7,"Massachusetts-Gulf of Maine",41507,"Tourism & Recreation"
"69",2009,8,"Massachusetts-Virginian",12298,"Tourism & Recreation"
"70",2008,7,"Massachusetts-Gulf of Maine",34848,"Tourism & Recreation"
"71",2008,8,"Massachusetts-Virginian",5254,"Tourism & Recreation"
"72",2007,7,"Massachusetts-Gulf of Maine",37981,"Tourism & Recreation"
"73",2007,8,"Massachusetts-Virginian",8831,"Tourism & Recreation"
"74",2006,7,"Massachusetts-Gulf of Maine",32667,"Tourism & Recreation"
"75",2006,8,"Massachusetts-Virginian",4815,"Tourism & Recreation"
"76",2005,7,"Massachusetts-Gulf of Maine",39996,"Tourism & Recreation"
"77",2005,8,"Massachusetts-Virginian",10832,"Tourism & Recreation"
